industry,image_prompt,motion_prompt,suggested_image_model,suggested_video_model
beauty,"Vertical social ad frame, elegant Vietnamese woman mid-20s applying serum drop to cheek, soft golden hour window light from left, clean minimal bathroom with marble counter, single premium skincare bottle sharp in foreground, shallow depth of field, premium spa aesthetic, photorealistic, no text, no logo, no watermark, face and product in upper two-thirds, negative space bottom for captions, 9:16 vertical, cinematic warm color grade, ultra detailed","Very subtle slow push-in toward face and product, hand completes one gentle serum application stroke, hair strands drift slightly in soft breeze, stable facial features and product shape, no morphing, no scene change, premium calm mood, 5 seconds",Flux Pro,Kling 3
beauty,"Vertical social ad, close-up glowing skin texture after facial treatment, dewy highlight on cheekbone, soft diffused ring light, neutral beige background, single orchid petal accent, luxury wellness spa mood, photorealistic macro beauty photography, no text, no logo, subject centered upper frame, 9:16 vertical, clean editorial look","Slow cinematic push-in on cheek highlight, subtle skin micro-shimmer, soft light sweep across face, minimal movement, identity stable, no distortion, serene spa atmosphere, 5 seconds",Flux Pro,Kling 3
beauty,"Vertical social ad, professional makeup artist applying lip color to model, studio softbox lighting, clean white backdrop, lipstick tube visible in frame lower third, fashion beauty editorial style, photorealistic, no text, no logo, model face upper two-thirds, 9:16 vertical, vivid but natural tones","Slow dolly in toward lips, brush completes one smooth stroke, model holds still with subtle blink, stable lip shape and skin tone, no morphing, beauty editorial calm motion, 5 seconds",Flux Pro,Seedance 1.5
beauty,"Vertical social ad, luxury hair care product with model flipping healthy shiny hair, wind machine effect, warm sunset backlight rim light, outdoor rooftop terrace blurred background, photorealistic hair commercial style, no text, no logo, hair movement zone upper frame, 9:16 vertical","Slow motion hair flip arc, strands catch golden rim light, gentle wind continues after flip, model holds confident pose, stable face and product bottle, cinematic slow motion, 5 seconds",Flux Pro,Kling 3
fnb,"Vertical social ad, iced Vietnamese coffee ca phe sua da in clear glass with condensation droplets, warm morning sunlight, rustic wooden table, subtle coffee swirl visible, bokeh cafe interior background, appetizing food photography, photorealistic, no text, no logo, drink centered upper two-thirds, 9:16 vertical, rich warm tones","Slow orbit 5 degrees around glass, single condensation droplet slides down, ice cubes shift subtly, steam wisps rise gently, background static, no spill, no morphing, appetizing calm motion, 5 seconds",Imagen 4,Seedance 1.5
fnb,"Vertical social ad, steaming bowl of pho with fresh herbs lime and chili on side, overhead 45-degree hero angle, natural window light, ceramic bowl texture detail, shallow depth of field, Vietnamese street food aesthetic, photorealistic, no text, no logo, bowl upper center, 9:16 vertical","Slow push-in toward bowl, steam rises in soft curls, herb leaf trembles slightly, broth surface gentle ripple, food shape unchanged, no splashing, warm inviting motion, 5 seconds",Imagen 4,Seedance 1.5
fnb,"Vertical social ad, colorful bubble tea with tapioca pearls and wide straw, pastel pink background, hand holding cup with manicured nails, condensation on cup, playful Gen-Z beverage aesthetic, photorealistic, no text, no logo, cup centered upper frame, 9:16 vertical, bright cheerful colors","Gentle hand tilt 5 degrees, pearls shift inside cup, condensation bead rolls down cup side, straw stays fixed, pastel background static, fun energetic but smooth motion, 5 seconds",Imagen 4,Kling 3
fnb,"Vertical social ad, artisan croissant on slate plate with scattered flour, flaky layers visible, morning cafe window light, coffee cup soft blur background, French bakery aesthetic, photorealistic food macro, no text, no logo, pastry upper two-thirds, 9:16 vertical, warm golden tones","Slow dolly in on croissant layers, subtle steam from background coffee, light sweep across flaky texture, pastry shape stable, crumbs stay in place, cozy bakery mood, 5 seconds",Imagen 4,Seedance 1.5
fashion,"Vertical social ad, full-body confident model in modern streetwear on urban sidewalk, golden hour backlight, slight wind in hair and jacket, sneakers sharp in foreground, soft city bokeh, editorial street style, photorealistic, no text, no logo, full body visible head to shoes, 9:16 vertical","Slow cinematic dolly back revealing full outfit, fabric and hair move gently in wind, model subtle weight shift confident pose, stable body proportions, no walking away, editorial street motion, 5 seconds",Flux Pro,Kling 3
fashion,"Vertical social ad, elegant woman in flowing midi dress on minimalist white staircase, soft side light, dress fabric texture detail, luxury fashion campaign aesthetic, photorealistic, no text, no logo, model centered upper two-thirds, 9:16 vertical, high-end neutral palette","Slow dolly up along dress silhouette, fabric hem sways gently, model subtle turn toward camera, stable face and dress pattern, no morphing, graceful luxury motion, 5 seconds",Flux Pro,Kling 3
